city,school,menu_name,menu_date
부산광역시,명호고등학교,김치말이국수  (1.3.5.6.9.16.18.)<br/>햄김가루주먹밥  (1.2.5.6.9.10.12.13.15.16.18.)<br/>갈비만두&초간장  (5.6.9.10.16.18.)<br/>깍두기(명호)  (9.),20220530
부산광역시,명호고등학교,백미밥  <br/>우동장국1  (1.2.5.6.9.13.)<br/>찜순대  (2.5.6.10.13.16.)<br/>건파래볶음1  (13.)<br/>떡볶이*  (1.5.6.13.)<br/>김치(명호)  (9.)<br/>쌈장  (5.6.13.),20220602
부산광역시,명호고등학교,낙지새우비빔밥  (5.6.9.13.17.)<br/>들깨무채국1  <br/>김치(명호)  (9.)<br/>아이스찹쌀떡(딸기맛)  (2.5.6.)<br/>오미자에이드  (13.),20220603
부산광역시,명호고등학교,현미밥  <br/>쇠고기버섯샤브(국)18  (5.6.13.16.)<br/>열무된장무침  (5.6.)<br/>꽈리고추오징어볶음  (5.6.13.17.)<br/>미트볼치즈구이*  (1.2.5.6.10.12.13.15.16.)<br/>김치(명호)  (9.),20220607
부산광역시,명호고등학교,열무비빔밥&약고추장  <br/>열무비빔밥(고명)  (5.6.9.)<br/>팽이버섯된장국(표준)  (5.6.)<br/>계란후라이  (1.)<br/>채식만두  (1.5.6.10.16.18.)<br/>김치(명호)  (9.)<br/>약고추장(채식)  (5.6.13.),20220608
부산광역시,명호고등학교,돈육카레라이스(a)  (2.5.6.10.12.13.16.18.)<br/>얼갈이겉절이  <br/>오지치즈후라이(a)  (1.2.5.6.10.)<br/>김치(명호)  (9.)<br/>바나나우유  (2.)<br/>망고황도요거트샐러드(a)  (2.11.),20220609
부산광역시,명호고등학교,*콩나물밥  (5.6.)<br/>양념장  (5.6.)<br/>두부된장국  (5.6.18.)<br/>연근조림  (5.6.13.)<br/>김치(명호)  (9.)<br/>멘보사과  (2.5.6.),20220610
부산광역시,명호고등학교,팥찰밥  <br/>새알미역국  (5.6.)<br/>콩나물무침(고춧가루)*  (5.)<br/>파프리카잡채  (1.5.6.13.)<br/>통삼겹바베큐(매콤)  (10.)<br/>김치(명호)  (9.)<br/>쌈장  (5.6.13.)<br/>마카롱  (1.2.6.),20220613
부산광역시,명호고등학교,기장밥1  <br/>돼지고기김치찌개1  (5.6.9.10.)<br/>코다리시래기찜*  (5.6.13.)<br/>대파채겉절이  <br/>대파채겉절이(레몬)  (1.2.5.6.)<br/>오리살스테이크  (1.2.5.6.12.)<br/>깍두기(명호)  (9.),20220614
부산광역시,명호고등학교,자장면(주식)  (1.2.5.6.12.13.16.18.)<br/>양배추겉절이  (5.6.13.)<br/>한입꿔바로우  (1.5.6.10.)<br/>단무지  <br/>청포도주스  (13.),20220615
부산광역시,명호고등학교,검정쌀밥1  <br/>양념장  (5.6.)<br/>건새우아욱국(표준)  (5.6.9.)<br/>연두부  (5.)<br/>실곤약무침(안)  (5.6.13.)<br/>슈프림치킨  (1.5.6.15.)<br/>김치(명호)  (9.),20220616
부산광역시,명호고등학교,혼합15곡잡곡밥(추천)  (5.)<br/>녹두삼계탕1  (15.)<br/>도라지오이초무침  (5.6.13.)<br/>타코야끼  (1.2.5.6.13.)<br/>김치(명호)  (9.)<br/>수박  ,20220617
부산광역시,명호고등학교,목살볶음밥(안)*  (1.2.5.6.10.13.15.16.18.)<br/>양배추샐러드&키위드레싱  (1.2.5.6.11.13.)<br/>고구마치즈돈가스  (1.2.5.6.10.)<br/>김치(명호)  (9.)<br/>골라먹는과일젤리  <br/>양송이스프(안)  (2.5.6.13.16.),20220620
부산광역시,명호고등학교,귀리밥  <br/>단배추들깨시락국1  (5.6.)<br/>순대채소볶음*  (2.5.6.10.13.16.)<br/>훈제오리부추볶음  (1.2.5.6.)<br/>김치(명호)  (9.)<br/>무쌈  ,20220621
부산광역시,명호고등학교,크림스파게티(안)  (1.2.5.6.10.13.16.)<br/>마늘바게트  (2.5.6.)<br/>치킨텐더샐러드(채식)  (1.2.5.6.)<br/>오이피클9봉  <br/>자몽에이드  ,20220622
부산광역시,명호고등학교,클로렐라쌀밥  <br/>맑은동태탕  (5.6.9.)<br/>온두부*  (5.)<br/>콩나물불고기  (5.6.10.13.)<br/>볶음김치  (9.)<br/>메론1  ,20220623
